Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),2,1,0,0,0,1,0,0,0,1,0,0,5
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),2,3,0,0,0,1,0,0,0,1,0,0,7
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,1,0,0,1,0,1,3
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0
TENTATIVA DE HOMICÍDIO,0,1,0,1,0,0,0,1,0,1,0,0,4
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,1,0,0,0,0,0,1
LESÃO CORPORAL DOLOSA,36,20,18,26,30,21,26,35,27,70,26,20,355
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,5,3,5,3,6,2,5,2,4,14,8,4,61
LESÃO CORPORAL CULPOSA - OUTRAS,0,0,0,1,0,1,0,0,0,0,0,0,2
LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL DE ESTUPRO (4),2,0,2,1,3,3,1,1,2,1,3,1,20
ESTUPRO,0,0,0,1,0,0,0,0,1,0,0,0,2
ESTUPRO DE VULNERÁVEL,2,0,2,0,3,3,1,1,1,1,3,1,18
TOTAL DE ROUBO - OUTROS (1),84,76,77,98,143,98,96,86,75,78,85,81,1.077
ROUBO - OUTROS,84,76,77,98,143,95,95,86,73,78,83,81,1.069
ROUBO DE VEÍCULO,4,9,9,14,13,13,8,8,4,19,13,13,127
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0
ROUBO DE CARGA,0,0,0,0,0,3,1,0,2,0,2,0,8
FURTO - OUTROS,85,88,120,100,275,126,101,131,122,109,107,108,1.472
FURTO DE VEÍCULO,33,40,38,31,44,37,28,34,25,27,31,20,388
