Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),3,1,2,6,4,3,2,0,2,1,2,0,26
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),3,1,2,6,4,3,2,0,2,1,2,0,26
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,1,1,2,0,1,1,1,0,2,0,1,10
HOMICÍDIO CULPOSO OUTROS,0,0,1,0,0,0,0,0,0,0,0,0,1
TENTATIVA DE HOMICÍDIO,1,3,1,1,2,1,2,1,0,1,2,0,15
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0
LESÃO CORPORAL DOLOSA,36,23,43,45,46,36,49,61,38,35,49,39,500
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,14,6,14,21,19,22,16,13,17,21,14,18,195
LESÃO CORPORAL CULPOSA - OUTRAS,0,0,4,1,1,0,1,1,0,7,1,0,16
LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,1,0,1
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,1,0,1
TOTAL DE ESTUPRO (4),7,3,5,10,5,3,1,7,0,6,3,4,54
ESTUPRO,0,0,0,1,4,1,0,1,0,1,0,0,8
ESTUPRO DE VULNERÁVEL,7,3,5,9,1,2,1,6,0,5,3,4,46
TOTAL DE ROUBO - OUTROS (1),180,151,171,152,162,169,154,180,168,144,184,168,1.983
ROUBO - OUTROS,170,146,158,142,146,165,148,173,167,141,178,166,1.9
ROUBO DE VEÍCULO,14,26,10,15,10,13,12,14,15,18,23,32,202
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0
ROUBO DE CARGA,10,5,13,10,16,4,6,7,1,3,6,2,83
FURTO - OUTROS,154,155,233,164,192,179,217,211,197,199,202,178,2.281
FURTO DE VEÍCULO,11,15,9,17,17,18,12,15,27,26,32,20,219
