Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),0,2,1,0,1,0,1,0,0,4,0,2,11
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,2,1,0,1,0,1,0,0,4,0,2,11
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,0,0,1,0,0,1,0,0,0,1,0,3
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0
TENTATIVA DE HOMICÍDIO,0,0,2,0,0,2,2,1,1,1,0,2,11
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0
LESÃO CORPORAL DOLOSA,15,30,27,19,16,16,25,25,23,81,23,36,336
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,2,5,6,6,8,4,7,2,10,35,12,8,105
LESÃO CORPORAL CULPOSA - OUTRAS,1,0,0,0,0,0,2,2,0,6,0,0,11
LATROCÍNIO,0,0,0,0,0,0,1,0,0,0,0,0,1
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,1,0,0,0,0,0,1
TOTAL DE ESTUPRO (4),1,1,1,3,4,1,1,1,2,5,4,2,26
ESTUPRO,0,0,1,2,0,0,1,0,0,0,1,0,5
ESTUPRO DE VULNERÁVEL,1,1,0,1,4,1,0,1,2,5,3,2,21
TOTAL DE ROUBO - OUTROS (1),148,109,132,122,114,119,123,131,93,101,121,153,1.466
ROUBO - OUTROS,139,100,127,119,110,114,122,130,93,95,118,146,1.413
ROUBO DE VEÍCULO,21,10,23,19,21,24,33,21,23,27,29,28,279
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0
ROUBO DE CARGA,9,9,5,3,4,5,1,1,0,6,3,7,53
FURTO - OUTROS,79,89,85,79,101,89,78,105,88,92,73,84,1.042
FURTO DE VEÍCULO,31,21,24,23,19,27,17,17,26,16,13,23,257
