Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),0,0,1,0,0,0,0,1,2,0,0,0,4
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,0,1,0,0,0,0,1,2,0,0,0,4
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,1,0,0,1,0,0,0,0,1,0,0,0,3
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0
TENTATIVA DE HOMICÍDIO,0,0,2,0,2,0,0,0,0,0,0,1,5
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0
LESÃO CORPORAL DOLOSA,4,27,27,20,18,29,19,13,17,21,13,21,229
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,6,9,9,2,9,9,15,4,7,6,9,4,89
LESÃO CORPORAL CULPOSA - OUTRAS,10,7,12,12,13,0,0,0,1,1,1,0,57
LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL DE ESTUPRO (4),0,1,4,1,1,1,3,0,0,3,2,0,16
ESTUPRO,0,0,2,0,1,1,1,0,0,1,1,0,7
ESTUPRO DE VULNERÁVEL,0,1,2,1,0,0,2,0,0,2,1,0,9
TOTAL DE ROUBO - OUTROS (1),85,78,109,94,107,96,120,95,83,87,72,85,1.111
ROUBO - OUTROS,82,75,107,92,106,95,118,93,81,86,68,82,1.085
ROUBO DE VEÍCULO,20,25,29,21,23,20,22,20,14,17,15,11,237
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0
ROUBO DE CARGA,3,3,2,2,1,1,2,2,2,1,4,3,26
FURTO - OUTROS,117,100,146,125,113,121,139,107,113,128,110,119,1.438
FURTO DE VEÍCULO,27,35,52,44,22,28,42,25,23,26,43,40,407
