Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),0,0,1,1,...,...,...,...,...,...,...,...,2
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,0,1,1,...,...,...,...,...,...,...,...,2
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,...,...,...,...,...,...,...,...,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,...,...,...,...,...,...,...,...,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,5,0,0,0,...,...,...,...,...,...,...,...,5
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,...,...,...,...,...,...,...,...,0
TENTATIVA DE HOMICÍDIO,1,0,1,0,...,...,...,...,...,...,...,...,2
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,...,...,...,...,...,...,...,...,0
LESÃO CORPORAL DOLOSA,21,25,26,26,...,...,...,...,...,...,...,...,98
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,5,13,15,9,...,...,...,...,...,...,...,...,42
LESÃO CORPORAL CULPOSA - OUTRAS,1,0,0,1,...,...,...,...,...,...,...,...,2
LATROCÍNIO,0,0,0,0,...,...,...,...,...,...,...,...,0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,...,...,...,...,...,...,...,...,0
TOTAL DE ESTUPRO (4),1,2,2,2,...,...,...,...,...,...,...,...,7
ESTUPRO,1,1,1,0,...,...,...,...,...,...,...,...,3
ESTUPRO DE VULNERÁVEL,0,1,1,2,...,...,...,...,...,...,...,...,4
TOTAL DE ROUBO - OUTROS (1),151,150,166,148,...,...,...,...,...,...,...,...,615
ROUBO - OUTROS,150,148,163,147,...,...,...,...,...,...,...,...,608
ROUBO DE VEÍCULO,14,14,15,22,...,...,...,...,...,...,...,...,65
ROUBO A BANCO,0,0,0,0,...,...,...,...,...,...,...,...,0
ROUBO DE CARGA,1,2,3,1,...,...,...,...,...,...,...,...,7
FURTO - OUTROS,129,91,132,87,...,...,...,...,...,...,...,...,439
FURTO DE VEÍCULO,12,9,12,8,...,...,...,...,...,...,...,...,41
