Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),0,0,0,0,...,...,...,...,...,...,...,...,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,0,0,0,...,...,...,...,...,...,...,...,0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,...,...,...,...,...,...,...,...,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,...,...,...,...,...,...,...,...,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,1,0,0,0,...,...,...,...,...,...,...,...,1
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,...,...,...,...,...,...,...,...,0
TENTATIVA DE HOMICÍDIO,0,0,0,0,...,...,...,...,...,...,...,...,0
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,...,...,...,...,...,...,...,...,0
LESÃO CORPORAL DOLOSA,11,16,9,6,...,...,...,...,...,...,...,...,42
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,2,3,2,4,...,...,...,...,...,...,...,...,11
LESÃO CORPORAL CULPOSA - OUTRAS,0,0,1,1,...,...,...,...,...,...,...,...,2
LATROCÍNIO,0,0,0,0,...,...,...,...,...,...,...,...,0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,...,...,...,...,...,...,...,...,0
TOTAL DE ESTUPRO (4),0,0,1,2,...,...,...,...,...,...,...,...,3
ESTUPRO,0,0,0,0,...,...,...,...,...,...,...,...,0
ESTUPRO DE VULNERÁVEL,0,0,1,2,...,...,...,...,...,...,...,...,3
TOTAL DE ROUBO - OUTROS (1),26,20,30,32,...,...,...,...,...,...,...,...,108
ROUBO - OUTROS,26,18,28,32,...,...,...,...,...,...,...,...,104
ROUBO DE VEÍCULO,8,4,6,4,...,...,...,...,...,...,...,...,22
ROUBO A BANCO,0,0,0,0,...,...,...,...,...,...,...,...,0
ROUBO DE CARGA,0,2,2,0,...,...,...,...,...,...,...,...,4
FURTO - OUTROS,63,43,48,51,...,...,...,...,...,...,...,...,205
FURTO DE VEÍCULO,22,33,49,49,...,...,...,...,...,...,...,...,153
