Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),3,1,0,0,...,...,...,...,...,...,...,...,4
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),3,1,0,0,...,...,...,...,...,...,...,...,4
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,...,...,...,...,...,...,...,...,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,...,...,...,...,...,...,...,...,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,2,3,3,1,...,...,...,...,...,...,...,...,9
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,...,...,...,...,...,...,...,...,0
TENTATIVA DE HOMICÍDIO,4,3,2,0,...,...,...,...,...,...,...,...,9
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,...,...,...,...,...,...,...,...,0
LESÃO CORPORAL DOLOSA,54,41,81,64,...,...,...,...,...,...,...,...,240
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,16,18,19,18,...,...,...,...,...,...,...,...,71
LESÃO CORPORAL CULPOSA - OUTRAS,1,0,0,0,...,...,...,...,...,...,...,...,1
LATROCÍNIO,0,0,0,0,...,...,...,...,...,...,...,...,0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,...,...,...,...,...,...,...,...,0
TOTAL DE ESTUPRO (4),5,3,7,2,...,...,...,...,...,...,...,...,17
ESTUPRO,2,0,1,1,...,...,...,...,...,...,...,...,4
ESTUPRO DE VULNERÁVEL,3,3,6,1,...,...,...,...,...,...,...,...,13
TOTAL DE ROUBO - OUTROS (1),150,145,148,99,...,...,...,...,...,...,...,...,542
ROUBO - OUTROS,138,134,136,89,...,...,...,...,...,...,...,...,497
ROUBO DE VEÍCULO,24,13,18,19,...,...,...,...,...,...,...,...,74
ROUBO A BANCO,0,0,0,0,...,...,...,...,...,...,...,...,0
ROUBO DE CARGA,12,11,12,10,...,...,...,...,...,...,...,...,45
FURTO - OUTROS,212,208,221,206,...,...,...,...,...,...,...,...,847
FURTO DE VEÍCULO,29,36,27,37,...,...,...,...,...,...,...,...,129
