Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),0,0,0,0,...,...,...,...,...,...,...,...,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,0,0,0,...,...,...,...,...,...,...,...,0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,...,...,...,...,...,...,...,...,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,...,...,...,...,...,...,...,...,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,...,...,...,...,...,...,...,...,0
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,...,...,...,...,...,...,...,...,0
TENTATIVA DE HOMICÍDIO,2,0,1,2,...,...,...,...,...,...,...,...,5
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,...,...,...,...,...,...,...,...,0
LESÃO CORPORAL DOLOSA,24,17,43,47,...,...,...,...,...,...,...,...,131
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,9,8,16,7,...,...,...,...,...,...,...,...,40
LESÃO CORPORAL CULPOSA - OUTRAS,1,1,0,0,...,...,...,...,...,...,...,...,2
LATROCÍNIO,0,0,0,0,...,...,...,...,...,...,...,...,0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,...,...,...,...,...,...,...,...,0
TOTAL DE ESTUPRO (4),1,3,4,1,...,...,...,...,...,...,...,...,9
ESTUPRO,1,0,2,0,...,...,...,...,...,...,...,...,3
ESTUPRO DE VULNERÁVEL,0,3,2,1,...,...,...,...,...,...,...,...,6
TOTAL DE ROUBO - OUTROS (1),97,93,116,121,...,...,...,...,...,...,...,...,427
ROUBO - OUTROS,95,92,113,119,...,...,...,...,...,...,...,...,419
ROUBO DE VEÍCULO,12,15,14,9,...,...,...,...,...,...,...,...,50
ROUBO A BANCO,0,0,0,0,...,...,...,...,...,...,...,...,0
ROUBO DE CARGA,2,1,3,2,...,...,...,...,...,...,...,...,8
FURTO - OUTROS,137,111,146,132,...,...,...,...,...,...,...,...,526
FURTO DE VEÍCULO,59,48,70,59,...,...,...,...,...,...,...,...,236
