Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),0,0,0,0,...,...,...,...,...,...,...,...,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,0,0,0,...,...,...,...,...,...,...,...,0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,...,...,...,...,...,...,...,...,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,...,...,...,...,...,...,...,...,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,0,1,0,...,...,...,...,...,...,...,...,1
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,...,...,...,...,...,...,...,...,0
TENTATIVA DE HOMICÍDIO,1,1,0,0,...,...,...,...,...,...,...,...,2
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,...,...,...,...,...,...,...,...,0
LESÃO CORPORAL DOLOSA,30,34,36,34,...,...,...,...,...,...,...,...,134
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,15,16,17,8,...,...,...,...,...,...,...,...,56
LESÃO CORPORAL CULPOSA - OUTRAS,1,1,1,1,...,...,...,...,...,...,...,...,4
LATROCÍNIO,0,0,0,0,...,...,...,...,...,...,...,...,0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,...,...,...,...,...,...,...,...,0
TOTAL DE ESTUPRO (4),0,2,2,0,...,...,...,...,...,...,...,...,4
ESTUPRO,0,1,1,0,...,...,...,...,...,...,...,...,2
ESTUPRO DE VULNERÁVEL,0,1,1,0,...,...,...,...,...,...,...,...,2
TOTAL DE ROUBO - OUTROS (1),95,69,104,89,...,...,...,...,...,...,...,...,357
ROUBO - OUTROS,94,69,103,85,...,...,...,...,...,...,...,...,351
ROUBO DE VEÍCULO,7,9,9,5,...,...,...,...,...,...,...,...,30
ROUBO A BANCO,0,0,0,0,...,...,...,...,...,...,...,...,0
ROUBO DE CARGA,1,0,1,4,...,...,...,...,...,...,...,...,6
FURTO - OUTROS,207,253,239,224,...,...,...,...,...,...,...,...,923
FURTO DE VEÍCULO,74,59,66,58,...,...,...,...,...,...,...,...,257
