Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),2,0,0,0,...,...,...,...,...,...,...,...,2
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),2,0,0,0,...,...,...,...,...,...,...,...,2
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,...,...,...,...,...,...,...,...,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,...,...,...,...,...,...,...,...,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,2,0,2,0,...,...,...,...,...,...,...,...,4
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,...,...,...,...,...,...,...,...,0
TENTATIVA DE HOMICÍDIO,3,1,1,2,...,...,...,...,...,...,...,...,7
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,...,...,...,...,...,...,...,...,0
LESÃO CORPORAL DOLOSA,67,46,58,40,...,...,...,...,...,...,...,...,211
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,13,8,21,15,...,...,...,...,...,...,...,...,57
LESÃO CORPORAL CULPOSA - OUTRAS,0,0,1,2,...,...,...,...,...,...,...,...,3
LATROCÍNIO,0,0,0,0,...,...,...,...,...,...,...,...,0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,...,...,...,...,...,...,...,...,0
TOTAL DE ESTUPRO (4),6,8,9,11,...,...,...,...,...,...,...,...,34
ESTUPRO,2,1,2,1,...,...,...,...,...,...,...,...,6
ESTUPRO DE VULNERÁVEL,4,7,7,10,...,...,...,...,...,...,...,...,28
TOTAL DE ROUBO - OUTROS (1),104,72,81,81,...,...,...,...,...,...,...,...,338
ROUBO - OUTROS,92,69,74,74,...,...,...,...,...,...,...,...,309
ROUBO DE VEÍCULO,20,24,29,22,...,...,...,...,...,...,...,...,95
ROUBO A BANCO,0,0,0,0,...,...,...,...,...,...,...,...,0
ROUBO DE CARGA,12,3,7,7,...,...,...,...,...,...,...,...,29
FURTO - OUTROS,92,73,87,93,...,...,...,...,...,...,...,...,345
FURTO DE VEÍCULO,12,10,16,13,...,...,...,...,...,...,...,...,51
