Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),0,0,1,0,...,...,...,...,...,...,...,...,1
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,0,1,0,...,...,...,...,...,...,...,...,1
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,...,...,...,...,...,...,...,...,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,...,...,...,...,...,...,...,...,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,...,...,...,...,...,...,...,...,0
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,...,...,...,...,...,...,...,...,0
TENTATIVA DE HOMICÍDIO,0,0,0,3,...,...,...,...,...,...,...,...,3
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,...,...,...,...,...,...,...,...,0
LESÃO CORPORAL DOLOSA,0,28,19,20,...,...,...,...,...,...,...,...,67
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,0,4,3,2,...,...,...,...,...,...,...,...,9
LESÃO CORPORAL CULPOSA - OUTRAS,0,1,0,2,...,...,...,...,...,...,...,...,3
LATROCÍNIO,0,0,0,0,...,...,...,...,...,...,...,...,0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,...,...,...,...,...,...,...,...,0
TOTAL DE ESTUPRO (4),1,1,0,3,...,...,...,...,...,...,...,...,5
ESTUPRO,0,1,0,3,...,...,...,...,...,...,...,...,4
ESTUPRO DE VULNERÁVEL,1,0,0,0,...,...,...,...,...,...,...,...,1
TOTAL DE ROUBO - OUTROS (1),199,170,181,152,...,...,...,...,...,...,...,...,702
ROUBO - OUTROS,199,170,181,152,...,...,...,...,...,...,...,...,702
ROUBO DE VEÍCULO,1,4,0,1,...,...,...,...,...,...,...,...,6
ROUBO A BANCO,0,0,0,0,...,...,...,...,...,...,...,...,0
ROUBO DE CARGA,0,0,0,0,...,...,...,...,...,...,...,...,0
FURTO - OUTROS,434,439,378,320,...,...,...,...,...,...,...,...,1.571
FURTO DE VEÍCULO,18,22,25,9,...,...,...,...,...,...,...,...,74
