Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),3,1,2,6,4,3,2,0,2,1,2,0,26
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),3,1,2,6,4,3,2,0,2,1,2,0,26
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,1,0,1,0,2,1,1,0,1,0,1,8
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0
TENTATIVA DE HOMICÍDIO,1,3,2,3,3,1,1,2,0,2,2,0,20
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0
LESÃO CORPORAL DOLOSA,0,0,0,0,0,0,0,0,0,0,0,0,0
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,0,2,0,0,0,0,0,0,0,0,0,0,2
LESÃO CORPORAL CULPOSA - OUTRAS,0,0,0,0,0,0,0,0,0,0,0,0,0
LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,1,0,1
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,1,0,1
TOTAL DE ESTUPRO (4),7,4,6,10,5,3,1,8,1,6,3,5,59
ESTUPRO,0,0,1,1,4,1,0,1,0,1,0,1,10
ESTUPRO DE VULNERÁVEL,7,4,5,9,1,2,1,7,1,5,3,4,49
TOTAL DE ROUBO - OUTROS (1),182,141,177,152,159,169,152,159,141,143,178,164,1917
ROUBO - OUTROS,172,137,163,142,145,165,146,156,140,140,173,162,1841
ROUBO DE VEÍCULO,15,24,10,15,10,13,12,16,14,17,27,33,206
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0
ROUBO DE CARGA,10,4,14,10,14,4,6,3,1,3,5,2,76
FURTO - OUTROS,152,153,237,164,202,177,204,199,191,193,200,179,2251
FURTO DE VEÍCULO,13,16,10,17,19,18,19,20,24,27,35,21,239
