Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),0,2,1,0,1,0,1,0,0,4,0,2,11
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,2,1,0,1,0,1,0,0,4,0,2,11
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,1,0,2,0,0,0,0,0,0,1,0,4
HOMICÍDIO CULPOSO OUTROS,0,0,1,0,0,1,0,0,0,0,0,0,2
TENTATIVA DE HOMICÍDIO,0,0,1,0,0,2,3,1,1,1,0,2,11
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0
LESÃO CORPORAL DOLOSA,23,36,35,22,19,18,24,27,23,34,23,36,320
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,5,4,5,5,8,5,11,2,10,8,12,9,84
LESÃO CORPORAL CULPOSA - OUTRAS,1,0,1,0,0,0,4,2,0,1,0,0,9
LATROCÍNIO,0,0,0,0,0,0,1,0,0,0,0,0,1
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,1,0,0,0,0,0,1
TOTAL DE ESTUPRO (4),2,3,1,3,4,1,1,1,2,5,4,2,29
ESTUPRO,1,0,1,2,0,0,1,0,0,0,1,0,6
ESTUPRO DE VULNERÁVEL,1,3,0,1,4,1,0,1,2,5,3,2,23
TOTAL DE ROUBO - OUTROS (1),148,105,127,122,119,118,106,115,90,99,120,151,1420
ROUBO - OUTROS,138,96,122,119,116,113,105,114,90,94,117,144,1368
ROUBO DE VEÍCULO,22,11,25,19,23,22,39,23,20,26,28,24,282
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0
ROUBO DE CARGA,10,9,5,3,3,5,1,1,0,5,3,7,52
FURTO - OUTROS,80,89,83,79,99,90,70,105,85,90,71,83,1024
FURTO DE VEÍCULO,31,21,26,23,18,26,17,17,23,15,13,23,253
