Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),0,2,0,2,1,1,2,1,1,1,2,1,14
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,3,0,2,1,1,2,1,1,1,2,1,15
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,0,1,0,0,0,1,0,0,0,0,0,2
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0
TENTATIVA DE HOMICÍDIO,0,0,2,1,0,0,0,0,1,0,2,0,6
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,1,1
LESÃO CORPORAL DOLOSA,48,48,55,46,46,44,41,38,43,64,42,53,568
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,9,6,8,8,9,9,12,17,14,13,13,11,129
LESÃO CORPORAL CULPOSA - OUTRAS,1,0,0,1,2,0,2,0,0,0,0,0,6
LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL DE ESTUPRO (4),6,3,4,2,6,5,5,5,4,6,6,4,56
ESTUPRO,0,1,2,0,2,0,1,0,1,0,1,0,8
ESTUPRO DE VULNERÁVEL,6,2,2,2,4,5,4,5,3,6,5,4,48
TOTAL DE ROUBO - OUTROS (1),184,155,179,187,178,174,204,165,185,181,183,212,2187
ROUBO - OUTROS,177,150,169,178,166,167,190,155,180,171,166,199,2068
ROUBO DE VEÍCULO,12,8,20,15,25,15,22,12,15,15,21,24,204
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0
ROUBO DE CARGA,7,5,10,9,12,7,14,10,5,10,17,13,119
FURTO - OUTROS,129,139,151,136,176,183,178,195,182,159,160,175,1963
FURTO DE VEÍCULO,15,24,37,25,19,15,25,23,20,38,30,40,311
