Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),1,1,0,0,0,2,1,1,1,1,1,4,13
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),1,1,0,0,0,2,1,1,1,1,1,4,13
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,1,1,1,0,0,0,0,0,0,4,0,2,9
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0
TENTATIVA DE HOMICÍDIO,2,1,4,1,2,4,2,1,2,1,1,2,23
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,1,0,0,1,0,0,2
LESÃO CORPORAL DOLOSA,69,37,49,19,56,44,73,58,40,51,52,41,589
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,10,13,14,7,13,14,17,17,16,13,16,26,176
LESÃO CORPORAL CULPOSA - OUTRAS,1,0,1,0,0,0,0,1,0,1,1,3,8
LATROCÍNIO,0,1,1,0,0,0,0,0,0,0,0,0,2
Nº DE VÍTIMAS EM LATROCÍNIO,0,1,1,0,0,0,0,0,0,0,0,0,2
TOTAL DE ESTUPRO (4),4,6,5,6,5,7,3,1,4,6,9,4,60
ESTUPRO,0,2,2,2,0,3,1,0,1,2,3,0,16
ESTUPRO DE VULNERÁVEL,4,4,3,4,5,4,2,1,3,4,6,4,44
TOTAL DE ROUBO - OUTROS (1),286,218,258,247,187,239,261,268,225,245,228,215,2.877
ROUBO - OUTROS,279,214,255,243,185,236,259,264,221,238,222,209,2.825
ROUBO DE VEÍCULO,14,12,20,13,26,28,14,14,17,24,33,27,242
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0
ROUBO DE CARGA,7,4,3,4,2,3,2,4,4,7,6,6,52
FURTO - OUTROS,206,192,229,210,221,180,238,215,200,207,195,239,2.532
FURTO DE VEÍCULO,36,30,20,35,24,35,34,34,46,33,26,38,391
