Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),1,0,0,0,0,0,0,0,0,1,2,0,4
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),1,0,0,0,0,0,0,0,0,1,2,0,4
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,2,0,2,0,4
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0
TENTATIVA DE HOMICÍDIO,1,1,0,0,0,0,0,1,0,0,0,0,3
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,2,0,1,0,3
LESÃO CORPORAL DOLOSA,12,19,18,15,25,18,14,19,19,28,25,19,231
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,4,3,3,8,6,3,9,6,9,8,11,6,76
LESÃO CORPORAL CULPOSA - OUTRAS,0,0,0,0,0,0,0,1,1,0,0,2,4
LATROCÍNIO,0,0,0,1,0,0,0,0,0,0,1,0,2
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,1,0,0,0,0,0,0,1,0,2
TOTAL DE ESTUPRO (4),2,3,8,1,2,1,1,2,1,2,2,2,27
ESTUPRO,1,0,4,1,0,0,0,0,1,0,1,1,9
ESTUPRO DE VULNERÁVEL,1,3,4,0,2,1,1,2,0,2,1,1,18
TOTAL DE ROUBO - OUTROS (1),59,70,76,61,72,74,61,66,68,76,81,53,817
ROUBO - OUTROS,54,68,72,60,67,69,58,64,66,75,75,51,779
ROUBO DE VEÍCULO,6,20,10,7,13,7,12,4,5,7,10,10,111
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0
ROUBO DE CARGA,5,2,4,1,5,5,3,2,2,1,6,2,38
FURTO - OUTROS,161,152,137,154,183,175,150,178,149,139,122,146,1.846
FURTO DE VEÍCULO,35,31,45,37,34,28,27,37,18,31,29,29,381
