Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),1,2,0,0,0,0,0,0,0,0,0,0,3
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),1,2,0,0,0,0,0,0,0,0,0,0,3
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,0,1,0,0,0,1,1,1,0,0,2,6
HOMICÍDIO CULPOSO OUTROS,0,0,0,1,0,0,0,0,0,0,0,0,1
TENTATIVA DE HOMICÍDIO,2,1,0,1,1,1,0,0,0,1,0,0,7
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0
LESÃO CORPORAL DOLOSA,18,24,21,16,7,19,15,13,16,15,17,20,201
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,3,4,8,11,8,5,6,2,10,34,2,7,100
LESÃO CORPORAL CULPOSA - OUTRAS,0,0,0,0,0,0,0,0,1,5,1,1,8
LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL DE ESTUPRO (4),0,0,0,0,3,0,1,5,2,0,1,1,13
ESTUPRO,0,0,0,0,0,0,1,1,2,0,1,1,6
ESTUPRO DE VULNERÁVEL,0,0,0,0,3,0,0,4,0,0,0,0,7
TOTAL DE ROUBO - OUTROS (1),56,53,53,53,39,51,60,54,74,76,63,62,694
ROUBO - OUTROS,52,50,50,50,37,49,58,51,69,71,61,57,655
ROUBO DE VEÍCULO,5,6,5,10,9,4,3,4,6,6,5,5,68
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0
ROUBO DE CARGA,4,3,3,3,2,2,2,3,5,5,2,5,39
FURTO - OUTROS,86,75,102,96,111,88,94,119,94,98,101,93,1.157
FURTO DE VEÍCULO,24,26,18,22,34,25,31,8,39,41,17,30,315
