Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),0,0,1,1,1,2,1,2,1,1,1,1,12
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,0,1,1,1,2,1,3,1,1,1,1,13
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,0,0,1,0,0,1,0,0,0,1,0,3
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0
TENTATIVA DE HOMICÍDIO,1,0,1,0,0,1,0,1,0,2,0,1,7
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,1,0,0,0,0,0,0,1
LESÃO CORPORAL DOLOSA,12,8,16,21,16,13,19,13,12,18,4,14,166
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,3,2,7,7,10,11,7,11,10,9,8,7,92
LESÃO CORPORAL CULPOSA - OUTRAS,0,0,0,0,0,0,0,0,1,0,0,0,1
LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL DE ESTUPRO (4),2,1,4,3,3,2,2,0,1,2,1,0,21
ESTUPRO,0,0,0,1,1,0,0,0,0,0,0,0,2
ESTUPRO DE VULNERÁVEL,2,1,4,2,2,2,2,0,1,2,1,0,19
TOTAL DE ROUBO - OUTROS (1),60,83,86,87,60,83,64,82,81,104,69,99,958
ROUBO - OUTROS,59,83,83,84,57,79,60,74,78,102,65,99,923
ROUBO DE VEÍCULO,8,8,7,8,17,7,5,6,16,9,16,15,122
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0
ROUBO DE CARGA,1,0,3,3,3,4,4,8,3,2,4,0,35
FURTO - OUTROS,69,90,744,170,95,84,102,127,66,94,103,102,1846
FURTO DE VEÍCULO,4,10,15,15,18,16,15,17,9,14,12,21,166
