Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),2,0,2,1,2,0,0,0,2,1,1,1,12
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),2,0,2,1,2,0,0,0,2,1,1,1,12
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,2,0,0,0,0,0,0,0,2
HOMICÍDIO CULPOSO OUTROS,0,0,0,1,0,0,0,0,0,0,0,0,1
TENTATIVA DE HOMICÍDIO,1,0,3,0,4,1,1,0,1,2,1,1,15
LESÃO CORPORAL SEGUIDA DE MORTE,0,1,0,0,0,0,0,0,0,0,0,0,1
LESÃO CORPORAL DOLOSA,26,33,37,35,31,32,32,40,16,36,31,25,374
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,10,6,7,6,6,8,5,8,6,8,5,2,77
LESÃO CORPORAL CULPOSA - OUTRAS,1,0,0,0,0,0,0,0,1,0,0,1,3
LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL DE ESTUPRO (4),1,1,3,2,4,2,6,3,6,2,2,1,33
ESTUPRO,0,0,1,2,4,2,5,3,3,1,2,0,23
ESTUPRO DE VULNERÁVEL,1,1,2,0,0,0,1,0,3,1,0,1,10
TOTAL DE ROUBO - OUTROS (1),713,546,615,573,606,574,621,483,500,608,720,667,7226
ROUBO - OUTROS,709,545,611,570,601,573,615,479,499,604,720,666,7192
ROUBO DE VEÍCULO,2,1,2,1,3,2,4,2,2,0,4,3,26
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0
ROUBO DE CARGA,4,1,4,3,5,1,6,4,1,4,0,1,34
FURTO - OUTROS,726,678,907,889,1019,940,899,871,843,1076,1227,1061,11136
FURTO DE VEÍCULO,3,9,12,5,12,9,10,13,6,12,7,14,112
