Categoria: Esportes

Semana,são mateus são paulo: (Mundo)
2022-01-02,56
2022-01-09,0
2022-01-16,0
2022-01-23,41
2022-01-30,47
2022-02-06,47
2022-02-13,0
2022-02-20,0
2022-02-27,37
2022-03-06,22
2022-03-13,0
2022-03-20,45
2022-03-27,0
2022-04-03,0
2022-04-10,0
2022-04-17,0
2022-04-24,0
2022-05-01,0
2022-05-08,29
2022-05-15,31
2022-05-22,37
2022-05-29,0
2022-06-05,0
2022-06-12,69
2022-06-19,64
2022-06-26,36
2022-07-03,54
2022-07-10,34
2022-07-17,85
2022-07-24,0
2022-07-31,0
2022-08-07,55
2022-08-14,0
2022-08-21,100
2022-08-28,0
2022-09-04,0
2022-09-11,0
2022-09-18,25
2022-09-25,0
2022-10-02,0
2022-10-09,0
2022-10-16,60
2022-10-23,39
2022-10-30,25
2022-11-06,0
2022-11-13,0
2022-11-20,0
2022-11-27,26
2022-12-04,0
2022-12-11,35
2022-12-18,0
2022-12-25,0
