Categoria: Todas as categorias

Semana,carandiru são paulo: (Mundo)
2022-01-02,0
2022-01-09,0
2022-01-16,82
2022-01-23,100
2022-01-30,0
2022-02-06,0
2022-02-13,53
2022-02-20,40
2022-02-27,0
2022-03-06,0
2022-03-13,43
2022-03-20,44
2022-03-27,40
2022-04-03,0
2022-04-10,80
2022-04-17,39
2022-04-24,62
2022-05-01,62
2022-05-08,0
2022-05-15,67
2022-05-22,81
2022-05-29,0
2022-06-05,0
2022-06-12,0
2022-06-19,0
2022-06-26,58
2022-07-03,88
2022-07-10,53
2022-07-17,27
2022-07-24,50
2022-07-31,50
2022-08-07,49
2022-08-14,22
2022-08-21,72
2022-08-28,48
2022-09-04,0
2022-09-11,26
2022-09-18,0
2022-09-25,74
2022-10-02,62
2022-10-09,57
2022-10-16,60
2022-10-23,72
2022-10-30,64
2022-11-06,37
2022-11-13,90
2022-11-20,43
2022-11-27,53
2022-12-04,0
2022-12-11,0
2022-12-18,35
2022-12-25,43
