Categoria: Todas as categorias

Semana,vila rica são paulo: (Mundo)
2022-01-02,0
2022-01-09,46
2022-01-16,32
2022-01-23,0
2022-01-30,16
2022-02-06,73
2022-02-13,25
2022-02-20,35
2022-02-27,21
2022-03-06,36
2022-03-13,43
2022-03-20,63
2022-03-27,47
2022-04-03,0
2022-04-10,15
2022-04-17,0
2022-04-24,22
2022-05-01,26
2022-05-08,0
2022-05-15,46
2022-05-22,29
2022-05-29,27
2022-06-05,0
2022-06-12,0
2022-06-19,22
2022-06-26,0
2022-07-03,29
2022-07-10,0
2022-07-17,0
2022-07-24,0
2022-07-31,0
2022-08-07,17
2022-08-14,26
2022-08-21,26
2022-08-28,17
2022-09-04,100
2022-09-11,15
2022-09-18,0
2022-09-25,0
2022-10-02,0
2022-10-09,37
2022-10-16,26
2022-10-23,33
2022-10-30,19
2022-11-06,15
2022-11-13,33
2022-11-20,14
2022-11-27,17
2022-12-04,0
2022-12-11,0
2022-12-18,0
2022-12-25,0
