Categoria: Todas as categorias

Semana,ponte rasa são paulo: (Mundo)
2022-01-02,39
2022-01-09,0
2022-01-16,87
2022-01-23,19
2022-01-30,0
2022-02-06,38
2022-02-13,34
2022-02-20,67
2022-02-27,45
2022-03-06,0
2022-03-13,35
2022-03-20,0
2022-03-27,22
2022-04-03,41
2022-04-10,25
2022-04-17,24
2022-04-24,0
2022-05-01,18
2022-05-08,29
2022-05-15,0
2022-05-22,0
2022-05-29,17
2022-06-05,77
2022-06-12,60
2022-06-19,28
2022-06-26,23
2022-07-03,47
2022-07-10,0
2022-07-17,21
2022-07-24,0
2022-07-31,100
2022-08-07,29
2022-08-14,0
2022-08-21,60
2022-08-28,22
2022-09-04,0
2022-09-11,70
2022-09-18,31
2022-09-25,0
2022-10-02,0
2022-10-09,0
2022-10-16,64
2022-10-23,23
2022-10-30,0
2022-11-06,23
2022-11-13,0
2022-11-20,0
2022-11-27,18
2022-12-04,15
2022-12-11,27
2022-12-18,23
2022-12-25,0
