Categoria: Todas as categorias

Semana,vila sonia são paulo: (Mundo)
2022-01-02,63
2022-01-09,0
2022-01-16,25
2022-01-23,0
2022-01-30,52
2022-02-06,75
2022-02-13,63
2022-02-20,75
2022-02-27,0
2022-03-06,62
2022-03-13,0
2022-03-20,0
2022-03-27,40
2022-04-03,0
2022-04-10,60
2022-04-17,49
2022-04-24,27
2022-05-01,0
2022-05-08,64
2022-05-15,33
2022-05-22,36
2022-05-29,0
2022-06-05,87
2022-06-12,40
2022-06-19,0
2022-06-26,34
2022-07-03,100
2022-07-10,0
2022-07-17,0
2022-07-24,70
2022-07-31,28
2022-08-07,0
2022-08-14,39
2022-08-21,0
2022-08-28,28
2022-09-04,31
2022-09-11,39
2022-09-18,60
2022-09-25,0
2022-10-02,92
2022-10-09,0
2022-10-16,48
2022-10-23,43
2022-10-30,59
2022-11-06,44
2022-11-13,0
2022-11-20,29
2022-11-27,0
2022-12-04,0
2022-12-11,42
2022-12-18,37
2022-12-25,24
