Categoria: Todas as categorias

Semana,americanópolis são paulo: (Mundo)
2022-01-02,0
2022-01-09,0
2022-01-16,51
2022-01-23,0
2022-01-30,0
2022-02-06,50
2022-02-13,0
2022-02-20,22
2022-02-27,43
2022-03-06,0
2022-03-13,67
2022-03-20,32
2022-03-27,0
2022-04-03,0
2022-04-10,0
2022-04-17,26
2022-04-24,26
2022-05-01,38
2022-05-08,0
2022-05-15,71
2022-05-22,59
2022-05-29,90
2022-06-05,38
2022-06-12,0
2022-06-19,37
2022-06-26,40
2022-07-03,0
2022-07-10,0
2022-07-17,57
2022-07-24,47
2022-07-31,0
2022-08-07,57
2022-08-14,0
2022-08-21,0
2022-08-28,0
2022-09-04,0
2022-09-11,81
2022-09-18,41
2022-09-25,0
2022-10-02,41
2022-10-09,0
2022-10-16,100
2022-10-23,64
2022-10-30,27
2022-11-06,0
2022-11-13,0
2022-11-20,0
2022-11-27,0
2022-12-04,0
2022-12-11,97
2022-12-18,68
2022-12-25,0
