Categoria: Todas as categorias

Semana,vila jacuí são paulo: (Mundo)
2022-01-02,40
2022-01-09,51
2022-01-16,97
2022-01-23,0
2022-01-30,38
2022-02-06,0
2022-02-13,0
2022-02-20,20
2022-02-27,29
2022-03-06,100
2022-03-13,0
2022-03-20,0
2022-03-27,20
2022-04-03,0
2022-04-10,0
2022-04-17,0
2022-04-24,0
2022-05-01,0
2022-05-08,28
2022-05-15,36
2022-05-22,38
2022-05-29,53
2022-06-05,25
2022-06-12,34
2022-06-19,0
2022-06-26,0
2022-07-03,65
2022-07-10,0
2022-07-17,57
2022-07-24,0
2022-07-31,0
2022-08-07,0
2022-08-14,52
2022-08-21,47
2022-08-28,0
2022-09-04,0
2022-09-11,26
2022-09-18,56
2022-09-25,0
2022-10-02,0
2022-10-09,0
2022-10-16,31
2022-10-23,0
2022-10-30,0
2022-11-06,70
2022-11-13,0
2022-11-20,0
2022-11-27,25
2022-12-04,0
2022-12-11,49
2022-12-18,0
2022-12-25,0
