Categoria: Todas as categorias

Semana,parque são lucas são paulo: (Mundo)
2022-01-02,84
2022-01-09,60
2022-01-16,83
2022-01-23,61
2022-01-30,59
2022-02-06,0
2022-02-13,86
2022-02-20,65
2022-02-27,37
2022-03-06,22
2022-03-13,51
2022-03-20,39
2022-03-27,85
2022-04-03,0
2022-04-10,31
2022-04-17,31
2022-04-24,26
2022-05-01,64
2022-05-08,45
2022-05-15,65
2022-05-22,58
2022-05-29,26
2022-06-05,91
2022-06-12,47
2022-06-19,26
2022-06-26,52
2022-07-03,42
2022-07-10,100
2022-07-17,71
2022-07-24,42
2022-07-31,0
2022-08-07,86
2022-08-14,41
2022-08-21,71
2022-08-28,59
2022-09-04,0
2022-09-11,0
2022-09-18,0
2022-09-25,0
2022-10-02,61
2022-10-09,0
2022-10-16,26
2022-10-23,0
2022-10-30,0
2022-11-06,35
2022-11-13,26
2022-11-20,0
2022-11-27,0
2022-12-04,32
2022-12-11,0
2022-12-18,27
2022-12-25,87
