Categoria: Todas as categorias

Semana,cidade ademar são paulo: (Mundo)
2022-01-02,100
2022-01-09,0
2022-01-16,23
2022-01-23,0
2022-01-30,22
2022-02-06,17
2022-02-13,0
2022-02-20,39
2022-02-27,0
2022-03-06,0
2022-03-13,48
2022-03-20,31
2022-03-27,19
2022-04-03,10
2022-04-10,0
2022-04-17,12
2022-04-24,29
2022-05-01,30
2022-05-08,22
2022-05-15,47
2022-05-22,47
2022-05-29,55
2022-06-05,19
2022-06-12,29
2022-06-19,15
2022-06-26,31
2022-07-03,18
2022-07-10,0
2022-07-17,23
2022-07-24,0
2022-07-31,16
2022-08-07,16
2022-08-14,43
2022-08-21,12
2022-08-28,24
2022-09-04,26
2022-09-11,29
2022-09-18,0
2022-09-25,29
2022-10-02,33
2022-10-09,40
2022-10-16,60
2022-10-23,41
2022-10-30,19
2022-11-06,20
2022-11-13,0
2022-11-20,0
2022-11-27,17
2022-12-04,18
2022-12-11,0
2022-12-18,57
2022-12-25,14
