Categoria: Todas as categorias

Semana,portal do morumbi são paulo: (Mundo)
2022-01-02,0
2022-01-09,62
2022-01-16,81
2022-01-23,78
2022-01-30,65
2022-02-06,0
2022-02-13,0
2022-02-20,0
2022-02-27,78
2022-03-06,0
2022-03-13,45
2022-03-20,0
2022-03-27,39
2022-04-03,0
2022-04-10,0
2022-04-17,0
2022-04-24,0
2022-05-01,0
2022-05-08,0
2022-05-15,41
2022-05-22,38
2022-05-29,51
2022-06-05,0
2022-06-12,87
2022-06-19,79
2022-06-26,0
2022-07-03,0
2022-07-10,0
2022-07-17,84
2022-07-24,0
2022-07-31,0
2022-08-07,82
2022-08-14,65
2022-08-21,0
2022-08-28,47
2022-09-04,0
2022-09-11,51
2022-09-18,0
2022-09-25,88
2022-10-02,71
2022-10-09,83
2022-10-16,0
2022-10-23,0
2022-10-30,0
2022-11-06,0
2022-11-13,0
2022-11-20,67
2022-11-27,100
2022-12-04,0
2022-12-11,0
2022-12-18,61
2022-12-25,0
